PROGRAM_NAME	PROGRAM_URL	CATALOG_NAME	LAST_UPDATED	ID	TITLE	DESCRIPTION	LINK	IMPRESSION_URL	IMAGE_LINK	MOBILE_LINK	ADDITIONAL_IMAGE_LINK	AVAILABILITY	AVAILABILITY_DATE	EXPIRATION_DATE	PRICE	SALE_PRICE	SALE_PRICE_EFFECTIVE_DATE	UNIT_PRICING_MEASURE	UNIT_PRICING_BASE_MEASURE	INSTALLMENT	LOYALTY_POINTS	GOOGLE_PRODUCT_CATEGORY	GOOGLE_PRODUCT_CATEGORY_NAME	PRODUCT_TYPE	BRAND	GTIN	MPN	IDENTIFIER_EXISTS	CONDITION	ADULT	MULTIPACK	IS_BUNDLE	ENERGY_EFFICIENCY_CLASS	AGE_GROUP	COLOR	GENDER	MATERIAL	PATTERN	SIZE	SIZE_TYPE	SIZE_SYSTEM	ITEM_GROUP_ID	CUSTOM_LABEL_0	CUSTOM_LABEL_1	CUSTOM_LABEL_2	CUSTOM_LABEL_3	CUSTOM_LABEL_4	PROMOTION_ID	SHIPPING_LABEL	SHIPPING_WEIGHT	SHIPPING_LENGTH	SHIPPING_WIDTH	SHIPPING_HEIGHT	MINHANDLINGTIME	MAXHANDLINGTIME	PRODUCT_LENGTH	PRODUCT_WIDTH	PRODUCT_HEIGHT	PRODUCT_WEIGHT	PRODUCT_HIGHLIGHT	ADS_REDIRECT	SHOPPING_ADS_EXCLUDED_COUNTRY	SHIPS_FROM_COUNTRY	TRANSIT_TIME_LABEL	COST_OF_GOODS_SOLD	SHIPPING(COUNTRY:REGION:SERVICE:PRICE)	SHIPPING(MIN_HANDLING_TIME)	SHIPPING(MAX_HANDLING_TIME)	SHIPPING(MIN_TRANSIT_TIME)	SHIPPING(MAX_TRANSIT_TIME)	SHIPPING(COUNTRY:POSTAL_CODE:SERVICE:PRICE)	SHIPPING(COUNTRY:LOCATION_ID:SERVICE:PRICE)	SHIPPING(COUNTRY:LOCATION_GROUP_NAME:SERVICE:PRICE)	TAX(RATE:COUNTRY:TAX_SHIP:REGION)	TAX(RATE:COUNTRY:TAX_SHIP:POSTAL_CODE)	TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_ID)	TAX(RATE:COUNTRY:TAX_SHIP:LOCATION_GROUP_NAME)	SUBSCRIPTION_COST(PERIOD)	SUBSCRIPTION_COST(PERIOD_LENGTH)	SUBSCRIPTION_COST(AMOUNT)	PRODUCT_DETAIL(SECTION_NAME)	PRODUCT_DETAIL(ATTRIBUTE_NAME)	PRODUCT_DETAIL(ATTRIBUTE_VALUE)
xteal-sandbox-store	https://xteal-sandbox-store.myshopify.com	XTAL-DEMO	2025-03-24T22:36:20.477Z	gid://shopify/Product/8078905180351	The Inventory Not Tracked Snowboard		the-inventory-not-tracked-snowboard		https://cdn.shopify.com/s/files/1/0682/5364/7039/files/snowboard_purple_hydrogen.png?v=1741284280			in stock			94995.0													FALSE	new	FALSE						NONE			NONE																																												
xteal-sandbox-store	https://xteal-sandbox-store.myshopify.com	XTAL-DEMO	2025-03-24T22:36:20.477Z	gid://shopify/Product/8078905213119	Gift Card	This is a gift card for the store	gift-card		https://cdn.shopify.com/s/files/1/0682/5364/7039/files/gift_card.png?v=1741284280			in stock			1000.0													FALSE	new	FALSE						NONE			NONE																																												
xteal-sandbox-store	https://xteal-sandbox-store.myshopify.com	XTAL-DEMO	2025-03-24T22:36:20.477Z	gid://shopify/Product/8078905245887	The Minimal Snowboard		the-minimal-snowboard					in stock			88595.0													FALSE	new	FALSE						NONE			NONE																																												
xteal-sandbox-store	https://xteal-sandbox-store.myshopify.com	XTAL-DEMO	2025-03-24T22:36:20.477Z	gid://shopify/Product/8078905278655	The Draft Snowboard		the-draft-snowboard		https://cdn.shopify.com/s/files/1/0682/5364/7039/files/Main_5127218a-8f6c-498f-b489-09242c0fab0a.jpg?v=1741284279			in stock			262995.0													FALSE	new	FALSE						NONE			NONE																																												
xteal-sandbox-store	https://xteal-sandbox-store.myshopify.com	XTAL-DEMO	2025-03-24T22:36:20.477Z	gid://shopify/Product/8078905311423	The Compare at Price Snowboard		the-compare-at-price-snowboard		https://cdn.shopify.com/s/files/1/0682/5364/7039/files/snowboard_sky.png?v=1741284280			in stock			78595.0													FALSE	new	FALSE						NONE			NONE																																												
xteal-sandbox-store	https://xteal-sandbox-store.myshopify.com	XTAL-DEMO	2025-03-24T22:36:20.477Z	gid://shopify/Product/8078905344191	The Complete Snowboard	This PREMIUM snowboard is so SUPERDUPER awesome!	the-complete-snowboard		https://cdn.shopify.com/s/files/1/0682/5364/7039/files/Main_589fc064-24a2-4236-9eaf-13b2bd35d21d.jpg?v=1741284279			in stock			69995.0													FALSE	new	FALSE						NONE			NONE																																												
xteal-sandbox-store	https://xteal-sandbox-store.myshopify.com	XTAL-DEMO	2025-03-24T22:36:20.477Z	gid://shopify/Product/8078905376959	The Out of Stock Snowboard		the-out-of-stock-snowboard		https://cdn.shopify.com/s/files/1/0682/5364/7039/files/Main_f44a9605-cd62-464d-b095-d45cdaa0d0d7.jpg?v=1741284279			in stock			88595.0													FALSE	new	FALSE						NONE			NONE																																												
xteal-sandbox-store	https://xteal-sandbox-store.myshopify.com	XTAL-DEMO	2025-03-24T22:36:20.477Z	gid://shopify/Product/8078905409727	The Archived Snowboard		the-archived-snowboard		https://cdn.shopify.com/s/files/1/0682/5364/7039/files/Main_52f8e304-92d9-4a36-82af-50df8fe31c69.jpg?v=1741284279			in stock			62995.0													FALSE	new	FALSE						NONE			NONE																																												
xteal-sandbox-store	https://xteal-sandbox-store.myshopify.com	XTAL-DEMO	2025-03-24T22:36:20.477Z	gid://shopify/Product/8078905442495	The Collection Snowboard: Hydrogen		the-collection-snowboard-hydrogen		https://cdn.shopify.com/s/files/1/0682/5364/7039/files/Main_0a40b01b-5021-48c1-80d1-aa8ab4876d3d.jpg?v=1741284279			in stock			60000.0													FALSE	new	FALSE						NONE			NONE																																												
xteal-sandbox-store	https://xteal-sandbox-store.myshopify.com	XTAL-DEMO	2025-03-24T22:36:20.477Z	gid://shopify/Product/8078905475263	The Videographer Snowboard		the-videographer-snowboard		https://cdn.shopify.com/s/files/1/0682/5364/7039/files/Main.jpg?v=1741284279			in stock			88595.0													FALSE	new	FALSE						NONE			NONE																																												
